# PSF X-COM, PSF Y-COM, PSF X-WIDTH, PSF Y-WIDTH, PSF ROT, PSF BKG
1.001500870479118621e+00,9.919398630819297180e-01,1.053686481340560199e+00,1.120745665842145966e+00,1.075399589480017459e+00,1.169993491201046787e+00
1.001439178828881671e+00,9.919517779813337155e-01,1.049678834281959849e+00,1.117915791174195261e+00,1.078936252656393036e+00,1.157679479699935232e+00
1.001576146471860440e+00,9.919624798755528605e-01,1.048062094040791870e+00,1.115764433109301734e+00,1.062208785429491709e+00,1.140142496428433239e+00
1.001497334163586883e+00,9.919210874742194761e-01,1.045151559119223084e+00,1.113282889176564705e+00,1.072387550309021886e+00,1.116331813970218967e+00
1.001542914584237609e+00,9.918658931280917024e-01,1.044518671625284334e+00,1.112685908935106438e+00,1.071646015090480741e+00,1.113883143175969925e+00
1.001457486664829366e+00,9.918395878137813426e-01,1.042935988136475700e+00,1.112598184441798699e+00,1.065694541610337387e+00,1.132654663866209832e+00
1.001473086337632212e+00,9.918407837881475508e-01,1.040551440775928205e+00,1.109362564090390357e+00,1.074096643944473017e+00,1.131187598399402860e+00
1.001433475267407891e+00,9.918191555010331673e-01,1.038844712001734782e+00,1.109129266736168296e+00,1.071903252056739309e+00,1.119953033770082484e+00
1.001509584132604047e+00,9.917874141186695525e-01,1.037439646640283542e+00,1.107325816947818398e+00,1.060153705228102927e+00,1.116304338964370091e+00
1.001479314052278191e+00,9.918432924848923360e-01,1.034935055693672057e+00,1.101735872035470409e+00,1.052233206858446790e+00,1.115862044801207542e+00
1.001489366967933892e+00,9.917701252752101349e-01,1.034758825780866198e+00,1.104872184187639661e+00,1.060346772323349729e+00,1.104499942355994691e+00
1.001485562567176579e+00,9.917292675508351252e-01,1.032096511304474440e+00,1.102630588097694320e+00,1.049710139124325314e+00,1.098152894594914608e+00
1.001520429217027885e+00,9.917542898798916706e-01,1.031078245009002359e+00,1.100537306605375409e+00,1.046486931125221176e+00,1.094368750833430770e+00
1.001635496187849084e+00,9.916799317176503425e-01,1.030425567121436403e+00,1.101828649160561557e+00,1.045555350862993560e+00,1.083793331551157424e+00
1.001576028219935299e+00,9.916917744385805866e-01,1.029405701221793867e+00,1.098678978658300665e+00,1.040134463412059063e+00,1.078409772873828665e+00
1.001611456662017785e+00,9.916409792230462816e-01,1.026924489454712042e+00,1.097165736867748986e+00,1.041235777042644584e+00,1.083335904958115270e+00
1.001682895914230986e+00,9.916292387758217641e-01,1.025935234023684917e+00,1.095735638321246874e+00,1.041322358672839954e+00,1.069653461710484921e+00
1.001646236655056699e+00,9.916287671261203585e-01,1.023408517315778754e+00,1.092020600215534154e+00,1.027843655287209668e+00,1.048043243605701447e+00
